height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,shotOnTarget,shotOffTarget,shotOnPost,shotBlocked,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,shotsTotal,ranking
178,72,25,FALSE,TRUE,-FW-MC-ML-MR-,"M(CLR),FW",England,es,EPL,37,0,13,11,1,19,Adama Traoré,Adama,Traoré,140088,Forward,161,Wolverhampton Wanderers,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.109189189,2645,43,33
181,76,29,FALSE,TRUE,-FW-MC-ML-MR-,"M(CLR),FW",England,br,EPL,36,0,34,23,3,26,Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,96182,Forward,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.107777778,2852,83,34
179,74,34,FALSE,TRUE,-AML-FW-,"AM(L),FW",England,gb-eng,EPL,34,0,38,29,3,15,Jamie Vardy,Jamie,Vardy,106981,Forward,14,Leicester,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.105588235,2846,82,35
184,82,29,FALSE,TRUE,-GK-,GK,England,au,EPL,3,0,0,0,0,0,Mat Ryan,Mat,Ryan,81523,Goalkeeper,13,Arsenal,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.103333333,270,0,36
176,72,24,FALSE,TRUE,-MC-,M(C),England,be,EPL,38,0,20,13,1,16,Youri Tielemans,Youri,Tielemans,136345,Midfielder,14,Leicester,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.086842105,3358,49,37
178,74,27,FALSE,TRUE,-DC-DL-ML-,"D(CL),M(L)",England,fr,EPL,30,0,0,7,3,6,Lucas Digne,Lucas,Digne,89925,Defender,31,Everton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.081666667,2682,13,38
190,83,30,FALSE,TRUE,-FW-,FW,England,be,EPL,30,0,34,27,1,10,Christian Benteke,Christian,Benteke,68312,Forward,162,Crystal Palace,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.078,1819,71,39
173,64,26,FALSE,TRUE,-FW-MC-ML-MR-,"M(CLR),FW",England,pt,EPL,26,0,13,9,2,6,Bernardo Silva,Bernardo Mota,Veiga de Carvalho e Silva,136741,Midfielder,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.074615385,2071,28,40
190,96,26,FALSE,TRUE,-DC-DR-,D(CR),England,fr,EPL,24,0,12,9,1,6,Kurt Zouma,Kurt,Zouma,106086,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.07125,2025,27,41
180,88,26,FALSE,TRUE,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,21,0,4,8,1,10,Solly March,Solly,March,122926,Midfielder,211,Brighton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.068571429,1675,22,42
173,66,26,FALSE,TRUE,-MC-MR-,M(CR),England,gb-eng,EPL,38,0,24,12,1,7,James Ward-Prowse,James,Ward-Prowse,105172,Midfielder,18,Southampton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.065789474,3420,43,43
175,71,29,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,eg,EPL,37,0,52,38,1,36,Mohamed Salah,Mohamed,Salah Ghaly,108226,Forward,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.065405405,3082,126,44
180,73,29,FALSE,TRUE,-DC-,D(C),England,gb-sct,EPL,25,0,9,6,0,0,Liam Cooper,Liam,Cooper,44148,Defender,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.0636,2188,15,45
190,86,34,FALSE,TRUE,-GK-,GK,England,es,EPL,3,0,0,0,0,0,Kiko Casilla,Francisco,Casilla Cortés,23154,Goalkeeper,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.063333333,270,0,46
176,76,28,FALSE,TRUE,-DC-DL-DR-MR-,"D(CLR),M(R)",England,ci,EPL,19,0,6,8,0,1,Serge Aurier,Serge,Aurier,83683,Defender,30,Tottenham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.056842105,1609,15,47
191,84,28,FALSE,TRUE,-MC-ML-,M(CL),England,fr,EPL,26,0,11,11,0,9,Paul Pogba,Paul,Pogba,97752,Midfielder,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.056538462,1896,31,48
194,100,28,FALSE,TRUE,-DC-,D(C),England,gb-eng,EPL,34,0,10,17,0,9,Harry Maguire,Harry,Maguire,99487,Defender,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.042352941,3048,36,49
188,70,27,FALSE,TRUE,-DC-DR-,D(CR),England,gb-eng,EPL,22,0,5,6,0,4,John Stones,John,Stones,101374,Defender,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.033636364,1934,15,50
183,80,23,FALSE,TRUE,-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",England,gb-eng,EPL,23,0,3,4,0,3,James Justin,James,Justin,301441,Defender,14,Leicester,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.033043478,2070,10,51
185,75,25,FALSE,TRUE,-DC-DL-ML-,"D(CL),M(L)",England,gb-eng,EPL,32,0,6,3,0,2,Luke Shaw,Luke,Shaw,118244,Defender,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.0328125,2657,11,52
185,71,27,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,38,0,48,42,3,17,Patrick Bamford,Patrick,Bamford,109670,Forward,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.027631579,3066,107,53
178,74,22,FALSE,TRUE,-GK-,GK,England,ie,EPL,2,0,0,0,0,0,Caoimhin Kelleher,Caoimhin,Kelleher,322176,Goalkeeper,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.025,180,0,54
185,81,28,FALSE,TRUE,-DC-,D(C),England,gb-eng,EPL,36,0,6,15,0,1,James Tarkowski,James,Tarkowski,131464,Defender,184,Burnley,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.021666667,3240,22,55
