height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,goalOpenPlay,goalCounter,goalSetPiece,penaltyScored,goalNormal,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,goalTotal,goalOwn,ranking
176,77,29,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,37,0,1,0,0,0,1,Koke,Jorge,Resurrección,80764,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.9021621621621625,3026,1,0,48
186,91,24,false,true,-FW-,FW,Spain,uy,SLL,31,0,7,0,0,0,7,Maximiliano Gómez,Maximiliano,Gómez,344119,Forward,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.901612903225807,2699,7,0,49
177,70,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,34,0,2,1,0,0,3,Suso,Jesús,Fernández Saez,105591,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.885,2234,3,0,50
172,60,35,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,34,0,0,0,0,0,0,Jesús Navas,Jesús,Navas,9446,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.881176470588237,2836,0,0,51
189,76,32,false,true,-DMC-,DMC,Spain,es,SLL,36,0,0,0,0,0,0,Sergio Busquets,Sergio,Busquets,44721,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.877499999999999,2530,0,0,52
185,78,25,false,true,-DC-DMC-,"D(C),DMC",Spain,pe,SLL,32,0,0,0,0,0,0,Renato Tapia,Renato,Tapia,136987,Midfielder,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8759375,2710,0,0,53
189,73,24,false,true,-FW-,FW,Spain,ma,SLL,38,0,14,2,2,0,18,Youssef En-Nesyri,Youssef,En-Nesyri,323547,Forward,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.873947368421055,2314,18,0,54
188,87,28,false,true,-GK-,GK,Spain,si,SLL,38,0,0,0,0,0,0,Jan Oblak,Jan,Oblak,76662,Goalkeeper,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.869736842105262,3420,0,1,55
181,77,25,false,true,-AML-AMR-FW-,"AM(LR),FW",Spain,es,SLL,34,0,6,3,2,1,11,Santi Mina,Santiago,Mina Lorenzo,125838,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.867647058823528,2423,12,0,56
186,79,23,false,true,-DC-DR-,D(CR),Spain,br,SLL,14,0,0,0,1,0,1,Eder Militão,Éder Gabriel,Militão,337879,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.862857142857143,1134,1,0,57
180,74,31,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,30,0,4,0,0,2,4,Fidel,Fidel,Chaves de la Torre,86809,Midfielder,833,Elche,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.862333333333333,2404,6,0,58
175,74,25,false,true,-DMC-,DMC,Spain,uy,SLL,34,0,3,0,0,0,3,Mauro Arambarri,Mauro,Arambarri,303016,Midfielder,819,Getafe,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.857941176470589,2990,3,0,59
191,81,28,false,true,-DC-,D(C),Spain,fr,SLL,31,0,0,0,2,0,2,Raphael Varane,Raphael,Varane,93206,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.848064516129034,2717,2,1,60
185,83,32,false,true,-GK-,GK,Spain,nl,SLL,10,0,0,0,0,0,0,Jasper Cillessen,Jasper,Cillessen,90811,Goalkeeper,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.843999999999999,900,0,0,61
172,69,29,false,true,-DL-MC-ML-,"D(L),M(CL)",Spain,ar,SLL,30,0,1,0,0,0,1,Marcos Acuña,Marcos,Acuña,303729,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.842666666666667,2331,1,0,62
180,73,26,false,true,-DL-ML-,"D(L),M(L)",Spain,fr,SLL,26,0,1,0,0,0,1,Ferland Mendy,Ferland,Mendy,296337,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8415384615384625,2207,1,0,63
185,72,27,false,true,-DC-,D(C),Spain,es,SLL,35,0,0,0,1,0,1,David García,David,García,240874,Defender,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.840285714285716,3150,1,1,64
190,83,29,false,true,-DC-,D(C),Spain,ma,SLL,19,0,0,0,0,0,0,Jawad El Yamiq,Jawad,El Yamiq,328643,Defender,58,Real Valladolid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.834210526315789,1377,0,0,65
179,68,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,pt,SLL,31,0,3,1,1,0,5,Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,247995,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.832903225806453,2301,5,0,66
171,63,25,false,true,-AMC-AML-AMR-,AM(CLR),Spain,fr,SLL,27,0,1,0,0,0,1,Thomas Lemar,Thomas,Lemar,132962,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.832222222222222,1376,1,0,67
182,78,26,false,true,-DC-,D(C),Spain,es,SLL,23,0,0,0,1,0,1,Yeray Álvarez,Yeray,Álvarez,279839,Defender,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.82913043478261,1949,1,0,68
175,73,25,false,true,-DL-DR-FW-MC-ML-MR-,"D(LR),M(CLR),FW",Spain,es,SLL,35,0,8,0,0,0,8,Alex Berenguer,Alejandro,Berenguer Remiro,238899,Forward,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8279999999999985,2289,8,0,69
175,65,34,false,true,-AMC-AML-,AM(CL),Spain,es,SLL,36,0,7,0,0,0,7,Nolito,Manuel,Agudo Durán,91267,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.827777777777778,2628,7,0,70
186,76,26,false,true,-AMC-AML-AMR-,AM(CLR),Spain,be,SLL,27,0,1,0,0,3,1,Adnan Januzaj,Adnan,Januzaj,130334,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8277777777777775,1011,4,0,71
170,65,28,false,true,-AMC-AML-AMR-,AM(CLR),Spain,es,SLL,28,0,4,0,1,0,5,Iker Muniain,Iker,Muniain,77922,Forward,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.822499999999999,1955,5,0,72
0,0,20,false,true,,Defender,Spain,,SLL,4,0,0,0,0,0,0,Carlos Domínguez,Carlos,Domínguez,415344,Defender,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.82,360,0,0,73
184,74,26,false,true,-MC-,M(C),Spain,es,SLL,35,0,1,0,0,0,1,Joan Jordán,Joan,Jordán,238941,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.819714285714285,2424,1,0,74
176,65,31,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,9,0,1,0,0,0,1,Sergio Escudero,Sergio,Escudero,89856,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.818888888888889,567,1,0,75
185,72,30,false,true,-DC-DR-,D(CR),Spain,br,SLL,31,0,0,0,4,0,4,Gabriel Paulista,Gabriel Armando,de Abreu,76810,Defender,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8187096774193545,2717,4,0,76
189,89,30,false,true,-DC-,D(C),Spain,fr,SLL,34,0,0,0,1,0,1,Florian Lejeune,Florian,Lejeune,80758,Defender,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.817352941176472,3016,1,0,77
186,77,32,false,true,-DC-,D(C),Spain,es,SLL,24,0,0,0,0,0,0,Aridane Hernández,Aridane,Hernández,93492,Defender,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.81125,2028,0,0,78
181,74,32,false,true,-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Spain,dk,SLL,35,0,2,0,1,1,3,Daniel Wass,Daniel,Wass,27254,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.807428571428571,2991,4,0,79
175,67,26,false,true,-DMC-,DMC,Spain,es,SLL,16,0,1,0,0,0,1,Luis Milla,Luis,Milla,279320,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8050000000000015,1259,1,0,80
184,75,26,false,true,-DC-DL-,D(CL),Spain,es,SLL,31,0,0,0,1,0,1,Mario Hermoso,Mario,Hermoso,344156,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.798064516129033,2584,1,1,81
180,71,27,false,true,-DC-DR-,D(CR),Spain,es,SLL,23,0,0,0,1,0,1,Aritz Elustondo,Aritz,Elustondo,256864,Defender,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.797391304347825,1887,1,1,82
194,85,34,false,true,-DC-,D(C),Spain,es,SLL,19,0,0,0,0,0,0,Gerard Piqué,Gerard,Piqué,12712,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.795263157894736,1486,0,0,83
184,78,23,false,true,-MC-,M(C),Spain,ve,SLL,32,0,2,0,1,0,3,Yangel Herrera,Yangel,Herrera,318505,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.794999999999998,2314,3,0,84
190,77,26,false,true,-DMC-,DMC,Spain,es,SLL,25,0,0,0,0,0,0,Lucas Torró,Lucas,Torró,249960,Midfielder,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.791599999999999,1547,0,0,85
190,75,29,false,true,-FW-,FW,Spain,hr,SLL,30,0,9,0,2,0,11,Ante Budimir,Ante,Budimir,98126,Forward,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.79,1622,11,0,86
184,75,24,false,true,-GK-,GK,Spain,es,SLL,1,0,0,0,0,0,0,Antonio Sivera,Antonio,Sivera,141044,Goalkeeper,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.79,72,0,0,87
172,68,29,false,true,-MC-ML-MR-,M(CLR),Spain,br,SLL,12,0,2,0,0,0,2,Philippe Coutinho,Philippe,Coutinho Correia,80767,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.785833333333333,657,2,0,88
180,76,31,false,true,-DC-DL-DR-,D(CLR),Spain,es,SLL,24,0,0,0,1,0,1,Nacho,Jose Ignacio,Fernandez Iglesias,106875,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.783333333333332,2000,1,0,89
182,78,22,false,true,-MC-ML-MR-,M(CLR),Spain,uy,SLL,24,0,3,0,0,0,3,Federico Valverde,Federico,Valverde,344644,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7825,1333,3,0,90
171,72,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,37,0,1,0,1,1,2,Rubén García,Rubén,García,119189,Midfielder,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.780810810810809,2739,3,0,91
185,80,26,false,true,-DC-DR-,D(CR),Spain,uy,SLL,21,0,0,0,0,0,0,José Giménez,José,Giménez,135914,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.778095238095237,1766,0,0,92
172,70,23,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,25,0,1,0,0,0,1,Pablo Maffeo,Pablo,Maffeo,294848,Defender,5006,SD Huesca,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7776,1977,1,0,93
