height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,ranking
170,68,32,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,35,0,Jordi Alba,Jordi,Alba,44288,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.999142857142855,3030,2569,62,65,2170,272,34
173,67,35,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,21,0,David Silva,David,Silva,14102,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.992380952380951,1408,834,39,9,670,116,35
181,79,22,false,true,-DR-MR-,"D(R),M(R)",Spain,br,SLL,34,0,Emerson,Emerson Aparecido,Leite de Souza Junior,328512,Defender,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.985588235294115,2993,1531,41,77,1202,211,36
175,60,20,false,true,-AML-AMR-,AM(LR),Spain,es,SLL,28,0,Bryan Gil,Bryan,Gil,368519,Forward,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.964642857142858,2273,790,13,20,603,154,37
179,70,20,false,true,-DL-,D(L),Spain,,SLL,1,0,Manu Sánchez,Manuel,Sánchez,374813,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.96,50,25,0,1,19,5,38
0,0,20,false,true,,Midfielder,Spain,,SLL,1,0,Sergio Barcia,Sergio,Barcia,405801,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.96,90,23,1,5,10,7,39
184,82,35,false,true,-DC-DR-,D(CR),Spain,es,SLL,15,0,Sergio Ramos,Sergio,Ramos,9909,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.957333333333334,1277,1103,114,30,900,59,40
176,65,30,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,31,0,Sergio Canales,Sergio,Canales,44189,Midfielder,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.952580645161289,2502,1655,125,54,1321,155,41
185,78,27,false,true,-DMC-,DMC,Spain,ar,SLL,35,0,Guido Rodríguez,Guido,Rodríguez,303876,Midfielder,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.950857142857145,2873,1631,92,66,1278,195,42
186,79,31,false,true,-FW-,FW,Spain,es,SLL,37,0,Kike García,Enrique,García Martínez,79840,Forward,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.950810810810813,3105,831,20,15,546,250,43
171,70,26,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,ar,SLL,38,0,Ángel Correa,Ángel,Correa,127604,Forward,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.939473684210526,2412,855,18,19,666,152,44
173,73,29,false,true,-DR-,D(R),Spain,es,SLL,13,0,Daniel Carvajal,Daniel,Carvajal,106883,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.931538461538461,952,668,38,21,528,81,45
187,84,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",Spain,ar,SLL,34,0,Lucas Ocampos,Lucas,Ocampos,115587,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.926764705882355,2648,883,26,27,657,173,46
187,81,30,false,true,-DC-,D(C),Spain,me,SLL,33,0,Stefan Savic,Stefan,Savic,77564,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.912424242424244,2954,1740,112,111,1370,147,47
176,77,29,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,37,0,Koke,Jorge,Resurrección,80764,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.9021621621621625,3026,2413,124,57,2031,201,48
186,91,24,false,true,-FW-,FW,Spain,uy,SLL,31,0,Maximiliano Gómez,Maximiliano,Gómez,344119,Forward,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.901612903225807,2699,549,25,15,336,173,49
177,70,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,34,0,Suso,Jesús,Fernández Saez,105591,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.885,2234,1092,71,36,868,117,50
172,60,35,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,34,0,Jesús Navas,Jesús,Navas,9446,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.881176470588237,2836,1642,105,109,1243,185,51
189,76,32,false,true,-DMC-,DMC,Spain,es,SLL,36,0,Sergio Busquets,Sergio,Busquets,44721,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.877499999999999,2530,2682,108,45,2342,187,52
185,78,25,false,true,-DC-DMC-,"D(C),DMC",Spain,pe,SLL,32,0,Renato Tapia,Renato,Tapia,136987,Midfielder,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8759375,2710,1587,115,112,1174,186,53
189,73,24,false,true,-FW-,FW,Spain,ma,SLL,38,0,Youssef En-Nesyri,Youssef,En-Nesyri,323547,Forward,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.873947368421055,2314,377,6,7,251,113,54
188,87,28,false,true,-GK-,GK,Spain,si,SLL,38,0,Jan Oblak,Jan,Oblak,76662,Goalkeeper,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.869736842105262,3420,872,241,356,273,2,55
181,77,25,false,true,-AML-AMR-FW-,"AM(LR),FW",Spain,es,SLL,34,0,Santi Mina,Santiago,Mina Lorenzo,125838,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.867647058823528,2423,600,12,9,420,159,56
186,79,23,false,true,-DC-DR-,D(CR),Spain,br,SLL,14,0,Eder Militão,Éder Gabriel,Militão,337879,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.862857142857143,1134,778,66,40,639,33,57
