height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,goalOwn,ranking
180,70,23,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,37,4,0.4864864864864865,0.21621621621621623,0.6756756756756757,0.08108108108108109,0.2702702702702703,0.5405405405405406,0.05405405405405406,Marcus Rashford,Marcus,Rashford,300299,Forward,32,Man Utd,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.127027027027025,2928,0,28
174,70,30,false,true,-MC-,M(C),England,es,EPL,24,4,2.5416666666666665,1.25,2,0,0.4583333333333333,1.3333333333333333,0,Thiago,Thiago,Alcántara do Nascimento,74939,Midfielder,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.120833333333334,1858,0,29
173,67,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,fr,EPL,25,6,0.64,0.16,0.4,0,0.04,0.2,0,Allan Saint-Maximin,Allan,Saint-Maximin,135891,Forward,23,Newcastle,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.1156,1568,0,30
175,73,24,false,true,-AML-AMR-FW-,"AM(LR),FW",England,br,EPL,29,7,0.5862068965517241,0.5172413793103449,0.9655172413793104,0,0.1724137931034483,0.5862068965517241,0,Gabriel Jesus,Gabriel Fernando,de Jesus,279379,Forward,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.11448275862069,2060,0,31
172,69,21,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,pt,EPL,31,1,0.5161290322580645,1,0.7741935483870968,0.03225806451612903,0.16129032258064516,0.7096774193548387,0.06451612903225806,Pedro Neto,Pedro,Lomba Neto,337916,Forward,161,Wolves,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.112903225806451,2559,0,32
178,72,25,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,es,EPL,37,9,0.7567567567567568,0.1891891891891892,1.2702702702702702,0,0.2972972972972973,0.21621621621621623,0.02702702702702703,Adama Traoré,Adama,Traoré,140088,Forward,161,Wolves,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.1091891891891885,2645,0,33
181,76,29,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,br,EPL,36,3,0.9166666666666666,0.3055555555555556,0.6111111111111112,0.027777777777777776,0.3333333333333333,0.7222222222222222,0.1388888888888889,Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,96182,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.107777777777777,2852,0,34
179,74,34,false,true,-AML-FW-,"AM(L),FW",England,gb-eng,EPL,34,3,0.5294117647058824,0.11764705882352941,0.7647058823529411,0.058823529411764705,0.9411764705882353,0.38235294117647056,0.11764705882352941,Jamie Vardy,Jamie,Vardy,106981,Forward,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.105588235294117,2846,0,35
184,82,29,false,true,-GK-,GK,England,au,EPL,3,0,0,0,0,0,1,0,0,Mat Ryan,Mat,Ryan,81523,Goalkeeper,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.103333333333333,270,0,36
176,72,24,false,true,-MC-,M(C),England,be,EPL,38,1,2.263157894736842,1.2105263157894737,0.9736842105263158,0.02631578947368421,0.42105263157894735,1.6578947368421053,0.21052631578947367,Youri Tielemans,Youri,Tielemans,136345,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.086842105263158,3358,0,37
178,74,27,false,true,-DC-DL-ML-,"D(CL),M(L)",England,fr,EPL,30,0,2.1333333333333333,1.0333333333333334,1.1,0.06666666666666667,2.4,0.8333333333333334,0.13333333333333333,Lucas Digne,Lucas,Digne,89925,Defender,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.081666666666665,2682,0,38
190,83,30,false,true,-FW-,FW,England,be,EPL,30,9,0.5,0.13333333333333333,1.1666666666666667,0.03333333333333333,1.3,0.23333333333333334,0.2,Christian Benteke,Christian,Benteke,68312,Forward,162,Crystal Palace,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.078000000000001,1819,0,39
173,64,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,pt,EPL,26,2,1,0.6538461538461539,0.6538461538461539,0,0.23076923076923078,1.5769230769230769,0.038461538461538464,Bernardo Silva,Bernardo Mota,Veiga de Carvalho e Silva,136741,Midfielder,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.074615384615385,2071,0,40
190,96,26,false,true,-DC-DR-,D(CR),England,fr,EPL,24,2,0.6666666666666666,1.1666666666666667,0.7083333333333334,0.4583333333333333,3.7916666666666665,0.16666666666666666,0.375,Kurt Zouma,Kurt,Zouma,106086,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.071249999999999,2025,0,41
180,88,26,false,true,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,21,2,2.3333333333333335,1.0476190476190477,1.2380952380952381,0,1,0.7619047619047619,0.23809523809523808,Solly March,Solly,March,122926,Midfielder,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0685714285714285,1675,0,42
173,66,26,false,true,-MC-MR-,M(CR),England,gb-eng,EPL,38,0,1.9736842105263157,1.105263157894737,1.1842105263157894,0.02631578947368421,1.368421052631579,1.0789473684210527,0.10526315789473684,James Ward-Prowse,James,Ward-Prowse,105172,Midfielder,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.065789473684212,3420,0,43
175,71,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,eg,EPL,37,3,0.4864864864864865,0.02702702702702703,0.5945945945945946,0,0.2702702702702703,0.24324324324324326,0,Mohamed Salah,Mohamed,Salah Ghaly,108226,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0654054054054045,3082,0,44
180,73,29,false,true,-DC-,D(C),England,gb-sct,EPL,25,0,2.72,2.44,0.92,0.48,2.68,0.88,1.28,Liam Cooper,Liam,Cooper,44148,Defender,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0636,2188,0,45
190,86,34,false,true,-GK-,GK,England,es,EPL,3,0,0,0,0,0,1.3333333333333333,0,0,Kiko Casilla,Francisco,Casilla Cortés,23154,Goalkeeper,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0633333333333335,270,0,46
176,76,28,false,true,-DC-DL-DR-MR-,"D(CLR),M(R)",England,ci,EPL,19,0,2.8947368421052633,1,1.2105263157894737,0.21052631578947367,2.1578947368421053,1.3157894736842106,0.2631578947368421,Serge Aurier,Serge,Aurier,83683,Defender,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.056842105263159,1609,0,47
191,84,28,false,true,-MC-ML-,M(CL),England,fr,EPL,26,5,1.3846153846153846,1,1.5769230769230769,0,1.4230769230769231,0.8461538461538461,0.07692307692307693,Paul Pogba,Paul,Pogba,97752,Midfielder,32,Man Utd,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0565384615384605,1896,0,48
194,100,28,false,true,-DC-,D(C),England,gb-eng,EPL,34,0,0.8529411764705882,1.7647058823529411,1.1764705882352942,0.5882352941176471,3.588235294117647,0.3235294117647059,0.6764705882352942,Harry Maguire,Harry,Maguire,99487,Defender,32,Man Utd,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.042352941176471,3048,0,49
