name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackleWonTotal,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Pau Torres,Defender,8,3,2058,6,33,2,17,23,0,0,2,1,2,LaLiga,2970
Dimitrios Siovas,Defender,29,8,1852,6,36,0,46,62,0,0,5,0,2,LaLiga,3073
Papu GÃ³mez,Midfielder,18,10,551,17,18,1,9,7,0,0,0,0,3,LaLiga,917
Claudio Bravo,Goalkeeper,0,0,565,3,20,0,0,0,52,0,3,0,0,LaLiga,1800
SaÃºl Ã‘Ã­guez,Midfielder,33,13,1118,23,33,1,57,19,0,0,10,0,2,LaLiga,2034
Ãlex Moreno,Defender,11,3,946,17,23,2,42,35,0,0,4,0,0,LaLiga,1787
Pedri,Midfielder,25,9,1694,39,37,3,44,33,0,0,2,0,3,LaLiga,2430
Brais MÃ©ndez,Midfielder,50,22,1145,18,34,0,59,32,0,0,8,0,9,LaLiga,2679
Ãlvaro Negredo,Forward,48,21,560,20,35,4,11,3,0,1,3,0,8,LaLiga,2217
Sergio Herrera,Goalkeeper,0,0,1069,1,33,0,0,3,88,0,2,0,0,LaLiga,2957
David Ferreiro,Midfielder,26,12,823,73,37,4,25,25,0,0,5,0,2,LaLiga,2543
Ronald Araujo,Defender,12,4,1065,3,24,1,22,20,0,0,3,0,2,LaLiga,1509
Paulo Oliveira,Defender,13,3,1219,2,31,1,42,59,0,0,4,0,0,LaLiga,2640
Alberto Perea,Forward,28,6,452,13,27,3,28,21,0,0,0,0,2,LaLiga,1552
Denis SuÃ¡rez,Midfielder,16,3,1902,46,35,9,64,22,0,0,10,0,0,LaLiga,2864
JoÃ£o FÃ©lix,Forward,39,16,667,21,31,5,8,5,0,0,6,0,7,LaLiga,1570
Sergi Roberto,Defender,5,1,799,13,15,2,9,10,0,0,1,0,1,LaLiga,947
Darwin MachÃ­s,Forward,48,21,436,25,32,5,30,22,0,0,1,0,5,LaLiga,2035
Yuri Berchiche,Defender,16,6,853,17,23,3,24,11,0,0,3,0,1,LaLiga,1685
Rafa Mir,Forward,120,46,423,9,38,1,15,15,0,0,2,0,13,LaLiga,2880
RubÃ©n Sobrino,Forward,9,5,245,11,16,0,29,15,0,0,3,0,1,LaLiga,1115
Felipe,Defender,12,2,1045,4,31,0,29,36,0,0,8,1,0,LaLiga,2053
Antonio Blanco,Midfielder,2,0,167,2,4,0,7,3,0,0,0,0,0,LaLiga,218
Juan Iglesias,Defender,4,1,152,4,10,0,27,17,0,0,2,0,0,LaLiga,605
MathÃ­as Olivera,Defender,19,4,831,21,31,0,61,31,0,0,6,0,0,LaLiga,2619
Edu ExpÃ³sito,Midfielder,43,9,1065,43,31,3,51,22,0,0,4,0,0,LaLiga,2461
JosÃ© GayÃ,Defender,24,5,1170,36,33,7,59,38,0,0,6,0,1,LaLiga,2848
Juan Foyth,Defender,1,0,692,3,16,0,40,19,0,0,5,0,0,LaLiga,1170
Lucas Olaza,Defender,11,2,808,14,18,2,25,24,0,0,4,1,0,LaLiga,1618
Jaume DomÃ©nech,Goalkeeper,0,0,786,0,28,0,1,0,90,0,1,0,0,LaLiga,2520
RubÃ©n Duarte,Defender,14,2,994,29,31,1,55,66,0,1,5,0,1,LaLiga,2551
Yassine Bounou,Goalkeeper,1,1,948,1,33,0,1,0,80,0,3,1,1,LaLiga,2970
Renan Lodi,Defender,11,3,575,12,23,2,30,16,0,0,3,0,1,LaLiga,1126
Alfonso Espino,Defender,8,4,715,15,32,3,92,41,0,0,6,0,0,LaLiga,2609
Marcelo,Defender,12,0,733,16,16,2,25,10,0,0,3,0,0,LaLiga,1052
Andoni Gorosabel,Defender,9,2,1101,23,32,1,76,23,0,0,3,0,0,LaLiga,2391
Thierry Correia,Defender,8,2,936,18,29,1,47,42,0,1,4,0,1,LaLiga,2140
Vicente Iborra,Midfielder,3,0,598,2,13,0,18,14,0,0,4,0,0,LaLiga,928
Marc Cucurella,Midfielder,26,8,1101,39,37,2,63,40,0,0,8,0,3,LaLiga,3250
Javier Ontiveros,Midfielder,36,10,428,18,20,1,21,9,0,0,5,0,2,LaLiga,915
Miguel GutiÃ©rrez,Defender,0,0,229,4,6,1,4,5,0,0,0,0,0,LaLiga,314
Diego Carlos,Defender,15,5,1879,8,33,0,22,31,0,1,9,1,1,LaLiga,2791
Jorge de Frutos,Midfielder,26,11,587,41,37,9,48,16,0,0,3,0,4,LaLiga,2187
JosÃ© Luis Morales,Midfielder,58,27,624,34,38,3,18,11,0,0,3,0,13,LaLiga,2455
Robin Le Normand,Defender,18,1,1700,4,33,1,34,36,0,1,5,0,0,LaLiga,2748
Asier Illarramendi,Midfielder,0,0,270,1,6,0,5,5,0,0,2,0,0,LaLiga,343
AarÃ³n Escandell,Goalkeeper,0,0,145,0,5,0,1,0,16,0,1,0,0,LaLiga,450
