name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackleWonTotal,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Ãlex Remiro,Goalkeeper,0,0,1083,0,38,0,0,3,68,0,0,0,0,LaLiga,3420
Ãngel Montoro,Midfielder,15,2,641,22,23,1,15,22,0,0,7,0,1,LaLiga,1371
Ander Guevara,Midfielder,9,2,1415,14,31,1,35,25,0,0,5,0,1,LaLiga,2088
Facundo Roncaglia,Defender,13,2,432,5,17,1,25,25,0,1,1,0,1,LaLiga,1236
DamiÃ¡n SuÃ¡rez,Defender,10,2,933,19,31,0,59,31,0,1,12,0,1,LaLiga,2440
Alberto Moreno,Defender,4,0,82,0,5,0,7,3,0,0,0,0,0,LaLiga,194
Pere Milla,Forward,30,11,577,14,32,3,24,13,0,0,6,0,4,LaLiga,1987
Marcos de Sousa,Forward,32,12,186,6,23,1,8,2,0,0,3,0,4,LaLiga,1171
Bruno GonzÃ¡lez,Defender,5,2,796,1,27,0,26,37,0,0,8,0,1,LaLiga,2261
Fali,Defender,10,2,704,8,34,0,42,32,0,0,11,0,0,LaLiga,2639
David Soria,Goalkeeper,0,0,841,0,28,0,2,1,53,0,2,0,0,LaLiga,2520
Manu SÃ¡nchez,Defender,3,1,402,14,16,4,27,8,0,0,4,0,0,LaLiga,974
Mouctar Diakhaby,Defender,11,4,988,1,26,0,16,27,0,1,4,0,1,LaLiga,2082
Vicente Esquerdo,Midfielder,1,0,94,2,4,0,7,8,0,0,1,0,0,LaLiga,233
Quini,Defender,8,3,357,4,19,0,33,15,0,0,5,0,1,LaLiga,1187
Portu,Forward,31,11,505,26,37,3,18,8,0,0,3,0,8,LaLiga,2190
Domingos Quina,Midfielder,8,3,89,5,8,0,5,2,0,0,1,0,2,LaLiga,343
Rodrigo Ely,Defender,4,2,162,3,8,0,5,7,0,0,1,0,1,LaLiga,470
TomÃ¡s Pina,Midfielder,9,1,909,7,33,1,39,37,0,0,12,0,1,LaLiga,2590
Diego Lainez,Midfielder,13,4,332,13,21,2,9,11,0,0,5,0,0,LaLiga,859
Marvin Park,Midfielder,1,0,70,2,4,1,3,2,0,0,0,0,0,LaLiga,133
Ivan Saponjic,Forward,11,6,81,0,9,0,1,1,0,0,2,0,1,LaLiga,387
Joseph Aidoo,Defender,9,0,622,2,25,0,26,25,0,0,3,0,0,LaLiga,1285
NÃ©stor AraÃºjo,Defender,6,0,1584,4,33,0,24,43,0,0,5,0,0,LaLiga,2424
Pedro Mosquera,Midfielder,8,2,1204,13,27,0,38,31,0,0,1,0,0,LaLiga,2055
Fernando Pacheco,Goalkeeper,0,0,964,0,38,0,2,2,84,0,1,0,0,LaLiga,3348
Sidnei,Defender,1,0,521,0,11,0,9,16,0,0,1,0,0,LaLiga,695
Jon Moncayola,Midfielder,38,10,1130,18,36,0,61,23,0,1,5,0,2,LaLiga,2665
Jon Morcillo,Midfielder,24,8,383,25,30,2,16,15,0,0,3,0,2,LaLiga,1363
AndrÃ©s Guardado,Midfielder,11,5,775,8,24,0,25,18,0,0,4,0,1,LaLiga,1322
RubÃ©n YÃ¡Ã±ez,Goalkeeper,0,0,238,0,10,0,0,2,18,0,2,0,0,LaLiga,900
Luuk de Jong,Forward,32,11,338,11,34,0,9,5,0,0,3,0,4,LaLiga,1264
Isco,Midfielder,20,3,684,19,25,2,13,2,0,0,1,0,0,LaLiga,899
JeremÃ­as Ledesma,Goalkeeper,0,0,945,0,32,0,1,0,83,0,0,0,0,LaLiga,2880
Jon Guridi,Midfielder,8,2,357,4,17,1,19,10,0,0,2,0,0,LaLiga,828
Allan-RomÃ©o Nyom,Defender,10,2,649,17,31,2,38,22,0,1,10,0,0,LaLiga,2334
Sergio Postigo,Defender,1,0,870,3,22,0,16,33,0,0,4,1,0,LaLiga,1625
Rui Silva,Goalkeeper,0,0,1005,1,32,0,1,2,83,0,1,0,0,LaLiga,2880
Roberto Torres,Midfielder,48,15,665,19,35,1,15,16,0,0,0,0,7,LaLiga,1893
Ã“scar De Marcos,Defender,6,5,595,12,25,2,28,12,0,0,2,0,1,LaLiga,1517
Mikel Vesga,Midfielder,22,5,902,12,30,1,28,27,0,0,7,0,0,LaLiga,1722
Carlos Bacca,Forward,20,12,159,5,23,0,9,3,0,0,1,0,5,LaLiga,782
Rodrigo Battaglia,Midfielder,17,5,1034,3,32,0,38,29,0,1,10,0,1,LaLiga,2495
Diego GonzÃ¡lez,Defender,5,2,742,1,19,0,11,20,0,0,5,1,1,LaLiga,1280
Dani Calvo,Defender,8,4,771,0,23,0,20,11,0,0,3,0,2,LaLiga,1779
Pedro LÃ³pez,Defender,3,0,487,7,22,1,23,16,0,0,2,0,0,LaLiga,1064
Borja GarcÃ­a,Midfielder,14,2,543,20,21,0,13,10,0,0,0,0,1,LaLiga,1119
Rober Pier,Defender,7,0,880,4,19,1,14,35,0,1,3,0,0,LaLiga,1427
Marcos Mauro,Defender,6,4,489,2,24,0,23,22,0,1,2,0,2,LaLiga,1831
Pepe Sanchez,Defender,1,0,66,2,3,0,4,4,0,0,0,0,0,LaLiga,254
Mikel Rico,Midfielder,19,7,854,20,32,4,24,23,0,0,2,0,1,LaLiga,2200
Anthony Lozano,Forward,35,14,246,11,29,1,12,3,0,0,5,0,3,LaLiga,1531
Marko Dmitrovic,Goalkeeper,3,2,971,4,35,0,4,0,80,0,0,0,1,LaLiga,3121
Mikel Balenziaga,Defender,3,1,733,8,23,1,26,7,0,0,0,0,0,LaLiga,1689
Denis Cheryshev,Midfielder,20,6,272,16,21,3,19,12,0,0,3,0,0,LaLiga,1105
Aitor FernÃ¡ndez,Goalkeeper,0,0,773,0,29,0,0,2,78,0,0,0,0,LaLiga,2610
Eugeni Valderrama,Midfielder,0,0,76,2,3,0,2,5,0,0,0,0,0,LaLiga,114
Kevin VÃ¡zquez,Defender,1,0,269,0,8,0,11,9,0,0,3,0,0,LaLiga,560
Denis Vavro,Defender,8,2,316,1,11,0,7,11,0,0,1,1,0,LaLiga,616
Ander Barrenetxea,Forward,23,7,369,15,31,0,29,6,0,0,7,0,3,LaLiga,1300
Joseba Zaldua,Defender,2,1,282,7,12,0,15,6,0,0,3,0,0,LaLiga,636
Helibelton Palacios,Defender,0,0,238,3,11,0,20,5,0,0,0,0,0,LaLiga,743
Pedro Bigas,Defender,10,0,625,1,21,0,11,23,0,0,1,0,0,LaLiga,1530
Nacho,Defender,8,1,794,22,23,1,43,29,0,1,3,0,0,LaLiga,1813
Shon Weissman,Forward,39,17,331,19,32,1,12,8,0,0,3,0,6,LaLiga,2139
VÃ­ctor Laguardia,Defender,8,3,1074,4,32,1,20,37,0,1,4,0,0,LaLiga,2636
Unai GarcÃ­a,Defender,5,0,428,3,17,0,19,14,0,0,3,1,0,LaLiga,1244
Oihan Sancet,Midfielder,18,6,346,12,24,2,8,5,0,0,2,0,2,LaLiga,1036
Oier Sanjurjo,Defender,16,4,833,15,33,2,39,29,0,0,10,0,0,LaLiga,2088
Cote,Defender,2,0,513,9,14,0,15,13,0,0,3,0,0,LaLiga,905
Nemanja Radoja,Midfielder,6,0,679,3,21,2,23,19,0,0,1,0,0,LaLiga,1118
Fernando NiÃ±o,Forward,14,7,128,3,17,0,8,2,0,0,1,0,3,LaLiga,594
Jordi Masip,Goalkeeper,0,0,702,0,25,0,0,2,75,0,3,0,0,LaLiga,2250
Jorge Pombo,Midfielder,14,4,165,7,12,0,7,2,0,0,1,0,1,LaLiga,519
Miralem Pjanic,Midfielder,16,3,747,12,19,0,13,11,0,0,1,0,0,LaLiga,623
Juan Cruz,Defender,1,0,609,11,26,0,36,15,0,0,4,0,0,LaLiga,1966
Domingos Duarte,Defender,6,2,954,6,29,0,32,29,0,1,5,0,1,LaLiga,2365
Johan Mojica,Defender,7,2,543,10,17,0,21,15,0,0,3,0,0,LaLiga,1206
Carlos Neva,Defender,8,1,373,6,22,0,12,27,0,0,1,0,0,LaLiga,1800
Kike PÃ©rez,Midfielder,15,4,515,12,24,0,26,17,0,0,3,0,0,LaLiga,1155
Coke,Defender,9,2,390,5,17,0,24,14,0,0,1,0,0,LaLiga,839
TrincÃ£o,Forward,23,12,372,8,28,2,4,1,0,0,1,0,3,LaLiga,683
Roberto LÃ³pez,Forward,14,5,213,7,17,0,5,4,0,0,0,0,3,LaLiga,500
Joel Robles,Goalkeeper,0,0,475,1,18,0,0,0,38,0,2,0,0,LaLiga,1620
Dimitri Foulquier,Defender,8,4,748,10,32,4,35,26,0,0,7,1,0,LaLiga,2672
Nikola Vukcevic,Midfielder,2,0,318,4,13,0,14,8,0,0,4,0,0,LaLiga,815
Paulo Gazzaniga,Goalkeeper,0,0,219,1,8,0,1,1,14,0,3,0,0,LaLiga,720
Abdoulaye Diaby,Forward,1,0,8,1,1,0,2,0,0,0,0,0,0,LaLiga,17
Emre Mor,Forward,8,2,109,3,11,0,8,5,0,0,2,0,0,LaLiga,503
Jon Pacheco Dozagarat,Defender,1,0,50,0,1,0,0,1,0,0,0,0,0,LaLiga,31
Juan PÃ©rez,Goalkeeper,0,0,79,0,3,0,0,0,5,0,0,0,0,LaLiga,270
VÃ­ctor DÃ­az,Defender,5,1,282,8,17,2,21,16,0,0,4,0,0,LaLiga,825
Pedro LeÃ³n,Midfielder,19,5,248,19,24,2,9,7,0,0,2,0,1,LaLiga,938
MartÃ­n Aguirregabiria,Defender,2,0,549,12,26,1,32,27,0,0,1,0,0,LaLiga,1557
Xabier Etxeita,Defender,4,0,317,1,11,0,8,13,0,0,3,1,0,LaLiga,881
Ã“scar RodrÃ­guez,Midfielder,10,2,296,11,20,0,15,10,0,0,1,0,0,LaLiga,498
IvÃ¡n Marcone,Midfielder,2,0,1513,10,33,0,64,36,0,1,8,0,0,LaLiga,2651
MartÃ­n Montoya,Defender,2,0,131,4,5,0,6,2,0,1,0,0,0,LaLiga,238
Darko Brasanac,Midfielder,8,4,296,5,16,0,10,7,0,0,4,0,2,LaLiga,910
Sergi Guardiola,Forward,36,11,500,11,29,2,11,7,0,0,5,0,1,LaLiga,1795
Miguel Ãngel Atienza,Midfielder,5,0,337,4,12,0,20,9,0,0,1,0,0,LaLiga,838
William Carvalho,Midfielder,15,6,959,9,27,0,19,11,0,1,4,0,2,LaLiga,1220
Eliaquim Mangala,Defender,2,0,108,0,7,0,0,6,0,0,1,0,0,LaLiga,320
Fran BeltrÃ¡n,Midfielder,19,7,765,4,32,0,30,16,0,0,3,0,3,LaLiga,1392
Asier Villalibre,Forward,38,14,281,13,35,2,3,2,0,0,1,0,4,LaLiga,1586
Tachi,Defender,3,0,354,2,13,0,11,11,0,1,3,0,0,LaLiga,849
Takefusa Kubo,Midfielder,15,7,185,9,18,1,7,14,0,0,2,0,1,LaLiga,804
Jony,Forward,10,4,283,19,22,2,7,14,0,0,0,0,0,LaLiga,869
Takashi Inui,Midfielder,37,17,424,14,28,0,13,12,0,0,0,0,1,LaLiga,1829
Roberto Navarro,Midfielder,0,0,20,1,1,0,1,1,0,0,0,0,0,LaLiga,34
MartÃ­n Merquelanz,Forward,11,4,202,9,13,1,9,3,0,0,0,0,0,LaLiga,541
Unai Vencedor,Midfielder,9,0,912,7,28,0,31,18,0,0,6,0,0,LaLiga,1703
Francis Coquelin,Midfielder,4,0,501,4,22,0,19,21,0,0,4,0,0,LaLiga,730
Sofian Chakla,Defender,3,1,245,1,11,0,12,14,0,0,5,1,0,LaLiga,896
Bryan Gil,Forward,0,0,6,0,1,0,1,0,0,0,0,0,0,LaLiga,12
AndrÃ©s FernÃ¡ndez,Goalkeeper,0,0,494,0,16,0,0,0,34,0,0,0,0,LaLiga,1440
Erick Cabaco,Defender,5,0,467,0,20,0,24,13,0,0,8,0,0,LaLiga,1328
Sergio Ãlvarez,Midfielder,6,2,686,6,27,0,42,22,0,0,3,0,0,LaLiga,1565
IÃ±igo Vicente,Forward,1,0,47,4,3,0,1,0,0,0,0,0,0,LaLiga,49
Pere Pons,Midfielder,9,4,339,8,23,0,20,7,0,0,1,0,2,LaLiga,1184
JonÃ¡s Ramalho,Defender,0,0,95,1,5,0,5,2,0,0,0,0,0,LaLiga,304
Javi MartÃ­nez,Midfielder,3,1,149,6,13,1,9,5,0,0,1,0,1,LaLiga,460
Recio,Midfielder,14,3,386,14,17,0,17,4,0,0,5,0,1,LaLiga,731
Deyverson,Forward,14,2,289,10,27,3,6,9,0,0,4,0,1,LaLiga,872
Manu Vallejo,Forward,19,14,246,7,30,0,18,3,0,0,2,0,5,LaLiga,940
Martin Braithwaite,Forward,23,7,276,12,29,2,8,6,0,0,3,0,2,LaLiga,1164
Fede San Emeterio,Midfielder,3,0,540,4,24,0,25,28,0,0,7,0,0,LaLiga,1463
Yunus Musah,Midfielder,6,2,408,8,32,0,21,15,0,0,2,0,1,LaLiga,1535
Salvi SÃ¡nchez,Midfielder,17,5,400,18,28,0,18,20,0,0,5,0,2,LaLiga,1950
Geoffrey Kondogbia,Midfielder,5,2,386,4,25,0,30,11,0,0,4,0,0,LaLiga,596
TomÃ¡s Vaclik,Goalkeeper,0,0,123,0,5,0,0,0,9,0,0,0,0,LaLiga,450
Oriol Rey,Midfielder,0,0,12,0,1,0,0,1,0,0,0,0,0,LaLiga,14
IvÃ¡n Alejo,Midfielder,13,4,159,10,22,1,14,3,0,0,5,0,1,LaLiga,820
Carlos FernÃ¡ndez,Forward,7,4,111,6,11,2,3,0,0,0,5,0,1,LaLiga,389
Riqui Puig,Midfielder,4,2,345,5,14,0,5,1,0,0,1,0,1,LaLiga,283
Unai SimÃ³n,Goalkeeper,0,0,859,1,37,0,1,0,69,0,1,0,0,LaLiga,3330
David Timor,Midfielder,17,5,594,12,30,0,13,19,0,1,5,1,0,LaLiga,1388
Yoshinori Muto,Forward,22,5,217,11,26,1,12,3,0,0,1,0,1,LaLiga,1122
ÃÃ±igo Lekue,Defender,2,1,305,6,18,0,9,4,0,0,1,0,0,LaLiga,635
Carlos FernÃ¡ndez,Forward,2,1,38,2,5,0,1,1,0,0,0,0,0,LaLiga,142
Jaime Mata,Forward,40,19,552,15,33,0,12,6,0,1,10,0,5,LaLiga,2042
Luis PÃ©rez,Defender,2,0,448,8,22,0,33,14,0,0,1,0,0,LaLiga,1298
Alberto Cifuentes,Goalkeeper,0,0,65,1,2,0,0,0,2,0,0,0,0,LaLiga,180
Alejandro Pozo,Midfielder,11,1,884,12,30,0,38,27,0,0,4,0,0,LaLiga,2187
Aleix GarcÃ­a,Midfielder,3,1,250,12,11,1,5,8,0,0,1,0,0,LaLiga,437
Alejandro Cantero,Midfielder,3,0,37,3,4,0,2,0,0,0,1,0,0,LaLiga,239
Pedro AlcalÃ¡,Defender,2,0,280,0,13,0,8,16,0,0,2,1,0,LaLiga,908
Roberto Soldado,Forward,30,12,329,9,29,0,7,4,0,1,6,0,9,LaLiga,1444
Kenan Kodro,Forward,2,2,9,0,4,0,0,0,0,0,2,0,1,LaLiga,43
Sergio Arribas,Midfielder,1,1,85,1,8,0,3,4,0,0,1,0,0,LaLiga,128
Son,Defender,8,5,463,19,28,0,18,12,0,0,3,0,0,LaLiga,1092
Lucas Torreira,Midfielder,3,1,312,3,19,0,8,12,0,0,2,0,1,LaLiga,507
Jeison LucumÃ­,Forward,0,0,11,0,2,0,1,0,0,0,0,0,0,LaLiga,49
MÃ­chel,Midfielder,10,5,642,11,22,0,18,9,0,0,3,0,2,LaLiga,945
Paul Akouokou,Midfielder,0,0,185,2,10,0,11,6,0,1,3,0,0,LaLiga,377
Juanmi,Forward,14,6,145,2,16,0,13,2,0,0,1,0,2,LaLiga,601
Nemanja Gudelj,Midfielder,9,1,783,2,30,0,23,24,0,0,8,0,0,LaLiga,1025
ToÃ±o,Defender,2,0,324,6,12,2,4,7,0,0,2,0,0,LaLiga,729
Okay Yokuslu,Midfielder,3,0,274,5,12,0,14,10,0,1,4,0,0,LaLiga,454
Sergio GÃ³mez,Midfielder,10,2,337,16,29,1,29,14,0,0,1,0,0,LaLiga,773
Enric Gallego,Forward,14,4,248,7,22,2,6,1,0,0,2,0,0,LaLiga,803
Ibai GÃ³mez,Midfielder,5,0,131,7,13,1,6,2,0,0,0,0,0,LaLiga,422
GastÃ³n Silva,Defender,0,0,343,1,12,0,16,11,0,0,2,1,0,LaLiga,599
Jota,Forward,12,6,193,2,17,0,7,6,0,0,1,0,1,LaLiga,665
KÃ©vin Rodrigues,Defender,10,4,422,11,22,1,16,20,0,0,1,0,1,LaLiga,1094
Jota,Midfielder,16,2,456,17,23,2,19,9,0,1,3,0,0,LaLiga,1408
Mariano,Forward,15,6,105,2,16,0,4,0,0,0,0,0,1,LaLiga,508
Dani GÃ³mez,Forward,31,8,319,11,34,2,4,2,0,0,3,0,2,LaLiga,1660
Alfon,Forward,1,1,16,1,2,0,0,0,0,0,0,0,0,LaLiga,33
Nico Williams,Forward,1,0,16,0,2,0,1,1,0,0,0,0,0,LaLiga,55
Jaume Costa,Defender,2,0,192,5,14,1,10,6,0,0,1,0,0,LaLiga,346
Sergio Carreira,Defender,2,1,91,1,3,0,3,1,0,0,0,0,1,LaLiga,261
Ãlvaro GimÃ©nez,Forward,5,2,97,2,11,1,4,2,0,0,0,0,2,LaLiga,404
AdriÃ¡n MarÃ­n,Defender,1,0,98,1,9,1,5,4,0,0,1,0,0,LaLiga,266
Burgui,Midfielder,0,0,9,0,1,0,3,0,0,0,0,0,0,LaLiga,20
Ãlex Blanco,Forward,7,2,126,8,13,0,8,8,0,0,1,0,1,LaLiga,580
Facundo Pellistri,Midfielder,5,2,106,2,12,0,8,4,0,0,0,0,0,LaLiga,540
Roberto JimÃ©nez,Goalkeeper,0,0,374,0,14,0,0,0,29,1,0,0,0,LaLiga,1171
Javi SÃ¡nchez,Defender,3,0,367,4,16,0,15,15,0,0,3,0,0,LaLiga,920
Modibo Sagnan,Defender,5,1,384,3,16,0,12,6,0,0,3,0,0,LaLiga,620
Shinji Okazaki,Forward,19,5,169,6,25,1,7,4,0,0,1,0,1,LaLiga,1128
Christian Oliva,Midfielder,2,1,102,2,9,2,2,6,0,0,0,0,0,LaLiga,193
Kuki Zalazar,Forward,0,0,8,1,2,1,1,0,0,0,0,0,0,LaLiga,28
Manu GarcÃ­a,Midfielder,11,1,400,6,26,0,24,12,0,1,7,0,0,LaLiga,1115
Emiliano Rigoni,Forward,16,8,338,11,23,1,12,6,0,0,5,0,1,LaLiga,1142
AdriÃ¡n LÃ³pez,Forward,10,3,184,4,17,1,3,0,0,0,0,0,1,LaLiga,474
Kevin Gameiro,Forward,16,7,261,5,27,1,7,0,0,0,0,0,4,LaLiga,1070
Idrissa Doumbia,Midfielder,4,0,415,2,23,0,15,7,0,0,4,0,0,LaLiga,770
Toni Lato,Defender,2,2,293,3,15,0,13,10,0,0,3,1,1,LaLiga,727
Fede Vico,Midfielder,10,4,280,8,20,0,10,12,0,0,1,0,0,LaLiga,768
Edgar Sevikyan,Midfielder,0,0,4,0,1,0,0,0,0,0,0,0,0,LaLiga,7
Ãlex Baena,Midfielder,2,1,51,2,6,0,4,1,0,0,0,0,0,LaLiga,137
Omenuke Mfulu,Midfielder,3,0,343,2,20,0,18,11,0,0,4,0,0,LaLiga,789
Kiko Olivas,Defender,0,0,104,0,5,0,3,7,0,0,1,0,0,LaLiga,173
Chema RodrÃ­guez,Defender,3,1,167,2,10,0,11,10,0,1,3,0,0,LaLiga,557
Dani Raba,Forward,6,1,75,2,5,0,2,0,0,0,0,0,0,LaLiga,146
Oussama Idrissi,Forward,1,1,8,0,3,0,1,1,0,0,0,0,0,LaLiga,24
Dani Escriche,Forward,10,1,260,8,23,1,9,8,0,1,5,0,1,LaLiga,851
Ãlvaro Bravo,Midfielder,0,0,9,0,1,0,1,1,0,0,0,0,0,LaLiga,14
Rodrigo SÃ¡nchez,Midfielder,5,0,237,8,15,0,3,2,0,0,0,0,0,LaLiga,532
Guillem Molina,Defender,0,0,56,0,2,0,1,4,0,0,1,0,0,LaLiga,153
Luka Jovic,Forward,6,1,39,2,4,0,0,0,0,0,0,0,0,LaLiga,149
JesÃºs Vallejo,Defender,1,0,501,1,21,0,11,13,0,1,2,0,0,LaLiga,1349
Martin Ã˜degaard,Midfielder,3,0,162,5,7,0,1,1,0,0,0,0,0,LaLiga,233
Jon Ander Garrido,Midfielder,5,1,228,2,23,0,18,14,0,0,1,0,0,LaLiga,792
IÃ±igo PÃ©rez,Midfielder,8,2,561,14,22,0,20,15,0,1,2,0,0,LaLiga,1356
Nehuen PÃ©rez,Defender,5,1,196,0,14,0,6,12,0,0,4,0,0,LaLiga,740
Pablo Piatti,Midfielder,4,3,108,3,9,0,8,2,0,0,1,0,0,LaLiga,359
Ante Palaversa,Midfielder,0,0,7,2,2,0,0,0,0,0,0,0,0,LaLiga,7
Cifu,Defender,3,0,163,0,11,0,10,8,0,0,1,0,0,LaLiga,449
Jairo Izquierdo,Midfielder,10,3,373,7,30,0,21,14,0,0,4,0,1,LaLiga,1270
IÃ±igo CÃ³rdoba,Midfielder,1,0,67,3,7,0,6,3,0,0,0,0,0,LaLiga,216
Jordan Holsgrove,Midfielder,1,0,101,1,5,0,6,2,0,0,0,0,0,LaLiga,142
Loren MorÃ³n,Forward,24,3,182,7,27,0,11,3,0,0,3,0,1,LaLiga,984
Luisinho,Defender,1,0,102,1,5,0,3,4,0,0,1,0,0,LaLiga,178
Takefusa Kubo,Midfielder,8,5,126,10,13,0,1,1,0,1,0,0,0,LaLiga,293
Franco VÃ¡zquez,Midfielder,3,1,102,2,15,0,5,1,0,0,1,0,1,LaLiga,154
Ãngel RodrÃ­guez,Forward,38,14,277,6,33,0,7,2,0,0,4,0,5,LaLiga,1364
Jon Bautista,Forward,12,3,88,6,21,1,5,2,0,0,3,0,0,LaLiga,353
Abdallahi Mahmoud,Midfielder,0,0,15,1,2,0,2,1,0,0,0,0,0,LaLiga,66
JosÃ© Manuel FontÃ¡n,Defender,5,3,319,0,14,0,12,13,0,1,1,0,0,LaLiga,652
Hugo Duro,Forward,1,0,7,1,2,0,0,0,0,0,0,0,0,LaLiga,53
IÃ±igo CÃ³rdoba,Midfielder,2,0,31,0,3,0,0,2,0,0,0,0,0,LaLiga,95
Kenan Kodro,Forward,6,1,113,4,14,0,0,2,0,0,1,0,0,LaLiga,453
Kingsley Fobi,Defender,0,0,6,0,1,0,0,1,0,0,0,0,0,LaLiga,45
Vitolo,Midfielder,2,0,148,3,11,0,4,3,0,0,2,0,0,LaLiga,295
Javier LÃ³pez,Defender,1,1,99,3,10,0,5,3,0,1,1,0,0,LaLiga,245
Urko Gonzalez,Defender,0,0,31,1,2,0,0,0,0,0,1,0,0,LaLiga,47
Miguel Baeza,Midfielder,11,3,195,8,22,0,7,3,0,0,0,0,1,LaLiga,532
Manuel Nieto,Forward,1,0,3,1,2,0,1,0,0,0,0,0,0,LaLiga,12
Moussa Dembele,Forward,6,2,31,1,5,0,0,1,0,0,0,0,0,LaLiga,95
Juan SÃ¡nchez MiÃ±o,Defender,0,0,256,1,9,0,8,4,0,0,2,0,0,LaLiga,497
Sergio LeÃ³n,Forward,19,5,135,6,28,0,6,3,0,0,1,0,2,LaLiga,734
Augusto FernÃ¡ndez,Midfielder,0,0,118,0,12,0,11,9,0,0,1,0,0,LaLiga,366
Ricard SÃ¡nchez,Defender,1,0,13,0,1,0,1,0,0,0,0,0,0,LaLiga,29
Francisco Portillo,Midfielder,0,0,243,5,16,1,5,5,0,0,1,0,0,LaLiga,411
Chimy Avila,Forward,8,2,52,0,8,0,6,1,0,0,0,0,0,LaLiga,199
Jason,Midfielder,5,0,114,7,17,0,9,10,0,1,2,0,0,LaLiga,434
Oier Zarraga,Midfielder,1,0,42,2,5,0,1,0,0,0,0,0,0,LaLiga,98
Yann Bodiger,Midfielder,0,0,91,2,9,0,2,8,0,0,0,0,0,LaLiga,246
Yan Eteki,Midfielder,7,3,351,4,25,0,23,13,0,1,4,0,0,LaLiga,1324
Alberto Soro,Midfielder,2,2,117,6,15,2,7,1,0,0,1,0,1,LaLiga,384
Cheick DoukourÃ©,Midfielder,0,0,43,1,7,0,5,3,0,0,1,0,0,LaLiga,96
RubÃ©n Blanco,Goalkeeper,0,0,584,0,19,0,0,0,34,1,0,0,0,LaLiga,1645
Waldo Rubio,Forward,9,2,109,1,10,0,6,3,0,0,1,0,1,LaLiga,376
Borja Sainz,Midfielder,7,4,91,3,21,0,7,6,0,0,1,0,1,LaLiga,440
Aritz Arambarri,Defender,0,0,15,0,1,0,1,0,0,0,0,0,0,LaLiga,25
VÃ­ctor RodrÃ­guez,Midfielder,0,0,324,4,16,0,4,5,0,0,1,0,0,LaLiga,418
Sofian Chakla,Defender,1,0,9,0,1,0,0,0,0,0,0,0,0,LaLiga,12
Victor Mollejo,Forward,0,0,33,2,4,0,2,0,0,0,0,0,0,LaLiga,71
Juan Brunet,Midfielder,0,0,8,0,2,0,0,0,0,0,0,0,0,LaLiga,24
Damian Kadzior,Forward,5,1,47,1,6,0,1,0,0,0,0,0,0,LaLiga,195
AdriÃ¡n MarÃ­n,Defender,1,0,44,1,5,0,1,2,0,0,0,0,0,LaLiga,91
Ãlex MartÃ­n,Defender,0,0,33,0,2,0,2,0,0,0,0,0,0,LaLiga,95
Sergio Benito,Forward,0,0,0,0,1,0,0,0,0,0,0,0,0,LaLiga,1
Filip Malbasic,Midfielder,9,1,148,4,28,1,12,4,0,0,2,0,0,LaLiga,850
Juan Carlos Real,Midfielder,5,1,93,4,15,1,5,1,0,0,0,0,0,LaLiga,282
John Guidetti,Forward,5,1,67,1,10,0,2,1,0,0,1,0,1,LaLiga,201
JoaquÃ­n MuÃ±oz,Midfielder,1,1,11,1,3,0,0,1,0,0,0,0,0,LaLiga,39
Cristiano Piccini,Defender,1,0,23,0,3,0,1,0,0,0,0,0,0,LaLiga,65
RaÃºl Navas,Defender,0,0,54,1,2,0,6,3,0,0,0,0,0,LaLiga,169
Yoel RodrÃ­guez,Goalkeeper,0,0,93,0,4,0,0,0,3,0,0,0,0,LaLiga,299
Koffi,Defender,0,0,10,0,1,0,0,2,0,0,0,0,0,LaLiga,45
Youssouf Kone,Defender,0,0,17,0,3,0,2,0,0,0,0,0,0,LaLiga,72
Carles AleÃ±Ã¡,Midfielder,1,0,39,0,2,0,1,0,0,0,1,0,0,LaLiga,46
Stephane Paul Keller,Defender,0,0,13,0,1,0,1,0,0,0,0,0,0,LaLiga,16
Marc Cardona,Forward,1,1,24,0,3,0,1,0,0,0,0,0,0,LaLiga,51
DarÃ­o Poveda,Forward,0,0,5,0,1,0,0,0,0,0,0,0,0,LaLiga,4
RamÃ³n Azeez,Midfielder,2,0,35,0,2,0,1,1,0,0,0,0,0,LaLiga,100
TomÃ¡s Tavares,Defender,0,0,18,0,3,0,2,0,0,0,0,0,0,LaLiga,62
Javi Moyano,Defender,0,0,28,0,2,0,0,0,0,0,0,0,0,LaLiga,104
Patrick Cutrone,Forward,3,1,21,1,7,0,0,1,0,0,0,0,0,LaLiga,100
Luismi,Midfielder,0,0,115,0,11,0,4,4,0,0,0,0,0,LaLiga,163
RubÃ©n Sobrino,Forward,0,0,21,0,5,0,1,0,0,0,0,0,0,LaLiga,45
Sergi GarcÃ­a,Midfielder,0,0,5,0,2,0,1,0,0,0,0,0,0,LaLiga,17
Sabit Abdulai,Midfielder,0,0,13,0,3,0,2,0,0,0,1,0,0,LaLiga,58
Kelechi Nwakali,Midfielder,0,0,81,1,5,0,4,1,0,0,1,0,0,LaLiga,139
Koba Koindredi,Midfielder,0,0,10,0,2,0,1,0,0,0,0,0,0,LaLiga,13
Quique GonzÃ¡lez,Forward,4,1,49,1,12,0,0,0,0,0,0,0,0,LaLiga,163
Nino,Forward,3,1,114,2,16,0,0,0,0,0,1,0,0,LaLiga,273
