height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tackleWonTotal,tackleTotalAttempted,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,challengeLost,ranking
0,0,21,false,true,-DC-DMC-,"D(C),DMC",England,nl,EPL,27,0,49,60,Pascal Struijk,Pascal,Struijk,355609,Defender,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.806296296296297,2074,11,147
196,77,28,false,true,-DC-DL-,D(CL),England,gb-eng,EPL,36,0,32,40,Tyrone Mings,Tyrone,Mings,123167,Defender,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.8050000000000015,3195,8,148
184,80,29,false,true,-MC-,M(C),England,gb-eng,EPL,30,0,39,66,Jonjo Shelvey,Jonjo,Shelvey,40027,Midfielder,23,Newcastle United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.8036666666666665,2617,27,149
171,61,26,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,be,EPL,35,0,33,59,Leandro Trossard,Leandro,Trossard,113994,Forward,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.802571428571429,2622,26,150
187,82,25,false,true,-DC-DMC-,"D(C),DMC",England,dk,EPL,17,0,11,19,Andreas Christensen,Andreas,Christensen,130331,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.79764705882353,1375,8,151
192,90,25,false,true,-DC-,D(C),England,dk,EPL,31,0,33,46,Joachim Andersen,Joachim,Andersen,231135,Defender,170,Fulham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7945161290322575,2730,13,152
190,88,30,false,true,-GK-,GK,England,gb-eng,EPL,25,0,0,0,Karl Darlow,Karl,Darlow,70483,Goalkeeper,23,Newcastle United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.793999999999999,2250,0,153
182,66,26,false,true,-DC-DMC-DR-,"D(CR),DMC",England,gb-eng,EPL,10,0,7,12,Calum Chambers,Calum,Chambers,124316,Defender,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.793000000000001,752,5,154
189,75,25,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,30,0,43,61,Rob Holding,Rob,Holding,288795,Defender,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.785333333333335,2558,18,155
188,90,26,false,true,-AML-AMR-FW-,"AM(LR),FW",England,nl,EPL,28,0,16,32,Anwar El Ghazi,Anwar,El Ghazi,232261,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.783214285714284,1617,16,156
180,62,30,false,true,-MC-,M(C),England,ie,EPL,4,0,0,2,Conor Hourihane,Conor,Hourihane,134172,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7825,228,2,157
184,75,28,false,true,-MC-,M(C),England,fr,EPL,29,0,52,81,Abdoulaye Doucouré,Abdoulaye,Doucouré,116317,Midfielder,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.780689655172415,2452,29,158
173,0,18,false,true,,Forward,England,,EPL,3,0,3,3,Amad,Amad,Diallo,386634,Forward,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.78,167,0,159
178,67,25,false,true,-MC-ML-MR-,M(CLR),England,es,EPL,33,0,44,106,Pablo Fornals,Pablo,Fornals,297203,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7772727272727264,2583,62,160
187,80,32,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,ga,EPL,29,0,12,29,Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,44120,Forward,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.776896551724137,2337,17,161
