height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,saveSixYardBox,savePenaltyArea,saveObox,saveTotal,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,ranking
185,72,30,false,true,-DC-DR-,D(CR),Spain,br,SLL,31,0,0,0,0,0,Gabriel Paulista,Gabriel Armando,de Abreu,76810,Defender,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8187096774193545,2717,76
189,89,30,false,true,-DC-,D(C),Spain,fr,SLL,34,0,0,0,0,0,Florian Lejeune,Florian,Lejeune,80758,Defender,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.817352941176472,3016,77
186,77,32,false,true,-DC-,D(C),Spain,es,SLL,24,0,0,0,0,0,Aridane Hernández,Aridane,Hernández,93492,Defender,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.81125,2028,78
181,74,32,false,true,-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Spain,dk,SLL,35,0,0,0,0,0,Daniel Wass,Daniel,Wass,27254,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.807428571428571,2991,79
175,67,26,false,true,-DMC-,DMC,Spain,es,SLL,16,0,0,0,0,0,Luis Milla,Luis,Milla,279320,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8050000000000015,1259,80
184,75,26,false,true,-DC-DL-,D(CL),Spain,es,SLL,31,0,0,0,0,0,Mario Hermoso,Mario,Hermoso,344156,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.798064516129033,2584,81
180,71,27,false,true,-DC-DR-,D(CR),Spain,es,SLL,23,0,0,0,0,0,Aritz Elustondo,Aritz,Elustondo,256864,Defender,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.797391304347825,1887,82
194,85,34,false,true,-DC-,D(C),Spain,es,SLL,19,0,0,0,0,0,Gerard Piqué,Gerard,Piqué,12712,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.795263157894736,1486,83
184,78,23,false,true,-MC-,M(C),Spain,ve,SLL,32,0,0,0,0,0,Yangel Herrera,Yangel,Herrera,318505,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.794999999999998,2314,84
190,77,26,false,true,-DMC-,DMC,Spain,es,SLL,25,0,0,0,0,0,Lucas Torró,Lucas,Torró,249960,Midfielder,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.791599999999999,1547,85
190,75,29,false,true,-FW-,FW,Spain,hr,SLL,30,0,0,0,0,0,Ante Budimir,Ante,Budimir,98126,Forward,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.79,1622,86
