name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Victor LindelÃ¶f,Defender,4,1,1866,6,29,1,22,31,0,0,0,0,1,Premier League,2586
Kenny Tete,Defender,7,1,690,18,22,1,48,27,0,0,3,0,0,Premier League,1483
Chris Basham,Defender,10,1,1057,11,31,1,69,49,0,0,5,0,0,Premier League,2586
HÃ©ctor BellerÃ­n,Defender,15,5,1114,20,25,2,29,33,0,0,8,0,1,Premier League,2093
Daniel Podence,Midfielder,32,14,601,21,24,2,12,13,0,0,3,0,3,Premier League,1679
Kieran Tierney,Defender,15,3,1181,31,27,3,27,16,0,0,4,0,1,Premier League,2302
Mbaye Diagne,Forward,25,10,235,9,16,2,4,1,0,0,2,0,3,Premier League,1194
Oliver McBurnie,Forward,30,13,440,15,23,0,15,6,0,0,2,0,1,Premier League,1319
JoÃ£o Moutinho,Midfielder,14,4,1721,46,33,1,75,47,0,1,3,0,1,Premier League,2534
Douglas Luiz,Midfielder,26,8,1415,19,33,2,49,43,0,1,8,0,0,Premier League,2790
Edinson Cavani,Forward,34,15,336,14,26,3,12,6,0,0,4,0,10,Premier League,1372
Rodrigo,Forward,46,18,559,31,26,2,14,5,0,0,3,0,7,Premier League,1291
Craig Dawson,Defender,16,5,764,2,22,0,11,32,0,1,3,2,3,Premier League,1926
Charlie Taylor,Defender,3,2,990,12,29,1,48,29,0,0,1,0,0,Premier League,2429
Davinson SÃ¡nchez,Defender,5,0,1026,1,18,0,40,14,0,0,1,1,0,Premier League,1487
Isaac Hayden,Midfielder,16,2,788,7,24,0,52,43,0,0,8,0,0,Premier League,1946
Gylfi Sigurdsson,Midfielder,49,17,853,44,36,5,30,34,0,0,2,0,6,Premier League,2256
Danny Welbeck,Forward,35,15,258,22,24,1,12,7,0,0,0,0,6,Premier League,1547
Paul Dummett,Defender,3,1,518,4,15,0,16,16,0,0,2,0,1,Premier League,1256
Jacob Murphy,Midfielder,30,9,458,19,26,3,39,14,0,0,3,0,2,Premier League,1621
Mohammed Salisu,Defender,4,1,360,2,12,0,38,17,0,0,1,0,0,Premier League,843
Eric Dier,Midfielder,14,2,1789,6,28,0,23,23,0,0,3,0,0,Premier League,2520
Gabriel Martinelli,Forward,20,8,144,9,14,1,7,8,0,0,0,0,2,Premier League,588
Harrison Reed,Midfielder,13,4,1477,21,31,2,63,50,0,0,5,0,0,Premier League,2251
Miguel AlmirÃ³n,Midfielder,33,15,850,31,34,1,49,25,0,0,3,0,4,Premier League,2438
Luke Thomas,Defender,7,3,405,7,14,0,23,16,0,0,2,0,1,Premier League,972
Willian,Forward,20,3,678,32,25,5,13,8,0,0,0,0,1,Premier League,1407
SÃ©amus Coleman,Defender,12,4,645,19,25,3,39,13,0,0,0,0,0,Premier League,1612
Leander Dendoncker,Midfielder,31,8,1203,17,33,0,54,27,0,0,4,1,1,Premier League,2501
Jeffrey Schlupp,Midfielder,18,10,399,18,27,3,29,22,0,0,3,0,2,Premier League,1426
Dean Henderson,Goalkeeper,0,0,258,0,13,0,1,0,39,0,3,0,0,Premier League,1125
Jordan Pickford,Goalkeeper,0,0,998,1,31,0,0,3,90,0,1,0,0,Premier League,2743
Ahmed El Mohamady,Defender,9,1,470,13,14,0,17,17,0,0,2,0,0,Premier League,832
Issa Diop,Defender,3,2,583,1,18,0,20,22,0,0,3,1,2,Premier League,1379
Sergio AgÃ¼ero,Forward,19,12,171,7,12,1,4,2,0,0,0,0,4,Premier League,559
Ciaran Clark,Defender,8,2,790,2,22,0,24,29,0,0,3,1,1,Premier League,1893
Federico FernÃ¡ndez,Defender,4,2,834,7,24,0,29,17,0,0,4,1,0,Premier League,2083
Matt Ritchie,Midfielder,11,1,437,25,18,2,10,12,0,0,2,1,0,Premier League,1352
Mason Holgate,Defender,5,3,1103,8,28,0,56,35,0,0,9,0,1,Premier League,2290
Conor Gallagher,Midfielder,29,7,890,20,30,2,81,27,0,0,11,0,2,Premier League,2532
Ashley Westwood,Midfielder,20,7,2044,53,38,3,23,44,0,0,7,0,3,Premier League,3411
Lucas Moura,Forward,18,6,569,16,30,4,32,18,0,0,1,0,3,Premier League,1403
Emerson,Defender,0,0,56,0,2,0,3,1,0,0,0,0,0,Premier League,89
