name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Timothy Fosu-Mensah,Defender,1,0,66,2,1,0,2,3,0,0,1,0,0,Premier League,81
CÃ©sar Azpilicueta,Defender,11,5,1887,27,26,2,53,28,0,1,5,0,1,Premier League,2191
Ademola Lookman,Forward,69,23,1049,61,34,4,35,20,0,0,5,0,4,Premier League,2756
Michael Keane,Defender,16,6,1939,7,35,1,28,51,0,0,4,0,3,Premier League,2990
RÃºben Dias,Defender,14,6,2713,3,32,0,24,35,0,0,4,1,1,Premier League,2845
Thiago Silva,Defender,13,4,1940,5,23,0,20,33,0,1,3,0,2,Premier League,1938
RaÃºl JimÃ©nez,Forward,26,10,259,5,10,0,3,8,0,0,0,1,4,Premier League,825
Illan Meslier,Goalkeeper,0,0,1080,1,35,0,0,0,138,0,0,1,0,Premier League,3150
Diego Llorente,Defender,8,3,718,4,15,0,34,20,0,0,1,0,1,Premier League,1206
Matt Targett,Defender,6,2,1684,38,38,2,83,55,0,0,7,0,0,Premier League,3405
Marcos Alonso,Defender,22,10,508,15,13,0,13,12,0,0,2,0,2,Premier League,960
NÃ©lson Semedo,Defender,23,11,1567,21,34,1,85,41,0,0,5,1,1,Premier League,2988
Diogo Jota,Forward,46,26,426,12,19,0,12,5,0,0,2,0,9,Premier League,1113
Jannik Vestergaard,Defender,23,8,1763,7,30,0,50,42,0,1,3,0,3,Premier League,2575
Arthur Masuaku,Defender,6,2,476,11,12,2,20,8,0,0,2,0,0,Premier League,1011
Alexandre Lacazette,Forward,45,29,514,22,31,2,18,12,0,0,3,0,13,Premier League,1931
Andros Townsend,Midfielder,36,11,703,40,34,5,78,41,0,0,0,0,1,Premier League,2259
John McGinn,Midfielder,45,11,1367,42,37,5,61,43,0,0,12,0,3,Premier League,3330
Wilfried Zaha,Forward,60,20,734,30,30,2,26,9,0,0,6,0,11,Premier League,2614
Andrew Robertson,Defender,19,5,2680,66,38,7,46,21,0,0,2,0,1,Premier League,3386
Bukayo Saka,Midfielder,61,20,978,38,32,3,25,25,0,0,1,1,5,Premier League,2562
Jorginho,Midfielder,14,9,1783,24,28,1,57,40,0,0,2,0,7,Premier League,2014
Jonny Evans,Defender,8,3,1851,10,28,2,25,46,0,0,7,1,2,Premier League,2476
Romain SaÃ¯ss,Midfielder,28,11,1428,5,27,0,35,52,0,0,2,0,3,Premier League,2408
Stuart Dallas,Midfielder,48,19,1961,26,38,2,74,44,0,0,7,0,8,Premier League,3411
Dwight McNeil,Midfielder,26,9,1106,48,36,5,47,32,0,0,1,0,2,Premier League,3071
Nick Pope,Goalkeeper,0,0,839,2,32,0,1,2,113,0,1,0,0,Premier League,2880
Tanguy Ndombele,Midfielder,18,7,1172,14,33,2,41,19,0,0,3,0,3,Premier League,2108
Yerry Mina,Defender,17,4,1257,1,24,0,21,24,0,0,2,0,2,Premier League,1939
N'Golo KantÃ©,Midfielder,10,3,1529,22,30,2,79,59,0,0,7,0,0,Premier League,2146
Toby Alderweireld,Defender,10,3,1437,8,25,0,35,10,0,0,2,1,1,Premier League,2241
Dani Ceballos,Midfielder,13,2,1272,27,25,3,37,35,0,0,4,0,0,Premier League,1616
Bertrand TraorÃ©,Forward,64,23,700,35,36,6,26,15,0,0,1,0,7,Premier League,2338
Fikayo Tomori,Defender,0,0,29,0,1,0,2,2,0,0,0,0,0,Premier League,45
Gaetano Berardi,Defender,1,0,55,0,2,0,2,1,0,0,0,0,0,Premier League,114
Mateo Kovacic,Midfielder,23,4,1762,21,27,1,46,15,0,0,4,0,0,Premier League,1820
Tom Cairney,Midfielder,12,5,594,17,10,1,9,0,0,0,2,0,1,Premier League,759
JoÃ«l Veltman,Defender,14,4,1249,22,28,1,67,33,0,0,3,0,1,Premier League,2283
Martin DÃºbravka,Goalkeeper,0,0,371,0,13,0,0,0,44,0,0,0,0,Premier League,1170
Oleksandr Zinchenko,Defender,16,4,1368,15,20,0,25,23,0,0,0,0,0,Premier League,1474
Antonee Robinson,Defender,10,4,1047,29,28,0,45,37,0,1,4,0,0,Premier League,2162
Kelechi Iheanacho,Forward,59,25,504,28,25,2,12,2,0,0,1,0,12,Premier League,1458
JoÃ£o VirgÃ­nia,Goalkeeper,0,0,12,0,1,0,0,0,3,0,0,0,0,Premier League,47
Terence Kongolo,Defender,0,0,44,0,1,0,3,2,0,0,0,0,0,Premier League,90
Anthony Martial,Forward,43,21,481,17,22,3,2,1,0,1,0,0,4,Premier League,1488
James McArthur,Midfielder,6,0,772,15,18,2,57,23,0,0,3,0,0,Premier League,1471
Lewis Dunk,Defender,32,15,2223,10,33,0,30,32,0,2,5,1,5,Premier League,2933
Kyle Walker-Peters,Defender,18,7,1323,16,30,2,83,38,0,0,4,0,0,Premier League,2649
Danny Ings,Forward,57,27,501,22,29,4,22,3,0,0,1,0,12,Premier League,2185
Callum Wilson,Forward,49,20,341,17,26,5,12,7,0,0,2,0,12,Premier League,2086
TrÃ©zÃ©guet,Midfielder,35,12,288,13,21,1,33,19,0,0,0,0,2,Premier League,1166
Timothy Castagne,Defender,8,3,1324,22,27,3,52,29,0,0,1,0,2,Premier League,2346
Pascal GroÃŸ,Midfielder,32,7,1424,70,34,8,45,23,0,0,3,0,3,Premier League,2482
Fabinho,Midfielder,10,1,2108,4,30,0,58,44,0,0,6,0,0,Premier League,2565
Stuart Armstrong,Midfielder,55,11,1236,35,33,5,60,24,0,0,3,0,4,Premier League,2774
Jordan Henderson,Midfielder,14,4,1815,14,21,1,24,34,0,0,0,0,1,Premier League,1708
Aaron Cresswell,Defender,19,4,1652,58,36,8,32,32,0,0,3,0,0,Premier League,3172
Chris Wood,Forward,70,39,653,22,33,3,12,1,0,0,0,0,12,Premier League,2750
Eberechi Eze,Midfielder,37,13,1088,43,34,6,27,24,0,0,3,0,4,Premier League,2565
RÃºben Neves,Midfielder,67,16,1978,33,36,1,86,65,0,0,8,0,5,Premier League,2680
Fernandinho,Midfielder,14,3,1014,14,21,2,31,23,0,0,6,0,0,Premier League,1185
Timo Werner,Forward,79,32,779,36,35,8,20,8,0,0,2,0,6,Premier League,2608
Pascal Struijk,Defender,14,4,1296,4,27,0,49,47,0,0,3,0,1,Premier League,2074
Tyrone Mings,Defender,19,7,1679,7,36,2,32,41,0,1,4,1,2,Premier League,3195
Jonjo Shelvey,Midfielder,42,9,1401,37,30,3,39,36,0,0,7,0,1,Premier League,2617
Leandro Trossard,Forward,58,23,998,50,35,5,33,26,0,0,2,0,5,Premier League,2622
Andreas Christensen,Defender,3,0,1141,6,17,0,11,20,0,1,2,0,0,Premier League,1375
Joachim Andersen,Defender,13,3,1958,8,31,1,33,44,0,1,7,0,1,Premier League,2730
Karl Darlow,Goalkeeper,0,0,628,0,25,0,0,0,85,0,3,0,0,Premier League,2250
Calum Chambers,Defender,8,0,479,11,10,2,7,10,0,0,0,0,0,Premier League,752
Rob Holding,Defender,14,2,1802,4,30,1,43,24,0,0,2,1,0,Premier League,2558
Anwar El Ghazi,Midfielder,64,30,523,26,28,0,16,6,0,0,2,0,10,Premier League,1617
Conor Hourihane,Midfielder,5,2,133,5,4,1,0,0,0,0,0,0,1,Premier League,228
Abdoulaye DoucourÃ©,Midfielder,18,5,1340,21,29,3,52,39,0,0,6,0,2,Premier League,2452
Amad,Forward,1,1,63,2,3,1,3,0,0,0,0,0,0,Premier League,167
Pablo Fornals,Midfielder,50,16,1059,31,33,4,44,36,0,0,3,0,5,Premier League,2583
Pierre-Emerick Aubameyang,Forward,57,22,624,22,29,3,12,7,0,0,2,1,10,Premier League,2337
Ben Godfrey,Defender,14,2,1219,4,31,2,55,33,0,0,4,1,0,Premier League,2683
Che Adams,Forward,55,31,610,37,36,5,25,4,0,0,1,0,9,Premier League,2675
Adam Webster,Defender,25,7,1838,5,29,0,29,47,0,0,4,0,1,Premier League,2595
Kyle Bartley,Defender,14,5,827,7,30,1,27,38,0,0,4,0,3,Premier League,2584
Emile Smith Rowe,Midfielder,13,6,725,27,20,4,14,10,0,0,0,0,2,Premier League,1448
Allan,Midfielder,7,2,1055,17,24,0,80,18,0,0,6,0,0,Premier League,2052
Kyle Walker,Defender,10,3,1733,8,24,1,29,14,0,0,1,0,1,Premier League,1947
Josh Brownhill,Midfielder,34,7,1172,18,33,1,45,69,0,0,2,0,0,Premier League,2816
Aymeric Laporte,Defender,6,1,1274,4,16,0,13,11,0,0,1,0,0,Premier League,1343
Ferran Torres,Forward,36,15,406,19,24,2,12,3,0,0,1,0,7,Premier League,1306
Nicolas PÃ©pÃ©,Forward,48,21,628,11,29,1,20,12,0,1,1,0,10,Premier League,1614
Ross Barkley,Midfielder,38,11,726,39,24,1,6,5,0,0,0,0,3,Premier League,1537
Hugo Lloris,Goalkeeper,0,0,898,0,38,0,0,0,113,0,0,0,0,Premier League,3420
Willy Boly,Defender,15,4,1036,3,21,1,33,32,0,0,2,0,1,Premier League,1880
Dan Burn,Defender,17,6,1100,10,27,0,50,31,0,0,5,1,1,Premier League,2060
SÃ©bastien Haller,Forward,25,11,245,10,16,0,14,5,0,0,0,0,3,Premier League,935
Ezri Konsa,Defender,22,7,1287,2,36,0,25,29,0,0,3,0,2,Premier League,3193
Jarrod Bowen,Forward,55,16,620,29,38,5,26,22,0,0,0,0,8,Premier League,2579
Matt Doherty,Defender,3,1,676,11,17,2,29,23,0,1,2,0,0,Premier League,1239
Thomas Partey,Midfielder,26,4,1139,12,24,2,44,23,0,0,5,0,0,Premier League,1537
Joelinton,Forward,44,21,582,17,31,2,33,9,0,0,3,0,4,Premier League,1990
Christian Pulisic,Midfielder,43,16,662,25,27,2,19,12,0,0,2,0,4,Premier League,1738
Marc Albrighton,Midfielder,21,10,749,38,31,5,33,17,0,0,2,0,1,Premier League,1744
Ã‡aglar SÃ¶yÃ¼ncÃ¼,Defender,10,3,1382,7,23,0,28,28,0,0,2,0,1,Premier League,1816
Alphonse Areola,Goalkeeper,0,0,838,0,36,0,1,1,114,0,2,0,0,Premier League,3240
Christian Fuchs,Defender,4,0,524,1,9,0,18,16,0,0,4,0,0,Premier League,702
Sam Johnstone,Goalkeeper,0,0,1108,1,37,1,0,2,164,0,1,0,0,Premier League,3330
Alisson,Goalkeeper,1,1,988,0,33,0,3,2,83,0,1,0,1,Premier League,2970
Granit Xhaka,Midfielder,21,7,2188,17,31,2,50,24,0,1,7,0,1,Premier League,2522
Tosin Adarabioyo,Defender,18,5,1905,5,33,0,37,42,0,0,1,1,0,Premier League,2954
Angelo Ogbonna,Defender,13,4,1018,4,28,0,26,30,0,0,5,0,3,Premier League,2493
Gabriel MagalhÃ£es,Defender,16,4,1550,2,23,0,25,26,0,1,2,0,2,Premier League,1997
Callum Hudson-Odoi,Forward,23,6,576,32,23,3,23,6,0,0,0,0,2,Premier League,1060
Tariq Lamptey,Defender,6,2,374,10,11,1,17,19,0,1,2,0,1,Premier League,891
David McGoldrick,Forward,71,24,909,17,35,1,33,2,0,0,7,0,8,Premier League,2402
Mason Greenwood,Forward,67,24,714,14,31,2,13,5,0,0,2,0,7,Premier League,1826
Martin Ã˜degaard,Midfielder,15,3,496,20,14,2,9,2,0,0,0,0,1,Premier League,866
Sergio ReguilÃ³n,Defender,20,4,1200,17,27,3,47,32,0,0,5,1,0,Premier League,2249
Conor Townsend,Defender,11,4,918,23,25,2,44,36,0,0,0,0,0,Premier League,2235
Ozan Kabak,Defender,1,0,584,1,9,0,19,12,0,0,3,0,0,Premier League,803
Matthew Lowton,Defender,21,4,1194,26,34,1,54,56,0,0,5,0,1,Premier League,3060
Pablo MarÃ­,Defender,2,0,627,1,10,0,15,9,0,0,2,0,0,Premier League,900
Robin Olsen,Goalkeeper,0,0,176,0,7,0,0,0,21,0,1,0,0,Premier League,630
David Button,Goalkeeper,0,0,36,0,1,0,0,0,4,0,0,0,0,Premier League,90
FabiÃ¡n Balbuena,Defender,8,2,482,0,14,0,24,25,0,1,1,0,1,Premier League,1198
Rhys Williams,Defender,7,0,504,2,9,0,6,6,0,0,0,0,0,Premier League,661
Hakim Ziyech,Midfielder,35,13,666,34,23,3,14,10,0,0,3,0,2,Premier League,1180
Jan Bednarek,Defender,10,6,2068,5,36,1,37,84,0,1,5,1,1,Premier League,3104
Japhet Tanganga,Defender,2,1,199,1,6,0,5,3,0,0,2,0,0,Premier League,489
Tyrick Mitchell,Defender,2,2,599,3,19,1,65,21,0,0,1,0,1,Premier League,1710
Ethan Ampadu,Defender,7,2,1006,11,25,0,57,49,0,0,3,1,0,Premier League,2091
Tammy Abraham,Forward,32,13,205,9,22,1,7,5,0,0,0,0,6,Premier League,1036
Fraser Forster,Goalkeeper,0,0,243,0,8,0,1,0,20,0,0,0,0,Premier League,720
